Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C22, C25",1206,3,22uF/10V,C5672
"C10, C11, C12, C13, C4, C6",0402,6,100nF/50V,C307331
"C14, C18, C3, C5, C8",0603,5,10uF/10V,C19702
"C15, C2, C7",0402,3,1uF/25V,C52923
C16,0402,1,470pF/50V,C1537
"C17, C19",0805,2,100nF/100V,C28233
C20,0402,1,22pF/50V,C1555
C21,0603,1,12pF/50V,C38523
C23,CP_Elec_8x10.5,1,22uF/100V,C178570
C24,CP_Elec_8x10.5,1,470uF/16V,C96179
C9,1206,1,1nF/2kV,C161353
D1,SOT-23-6,1,USBLC6-2SC6,C7519
"D10, D2, D3",0603,3,WHITE,C2290
D11,D_SMA,1,SS510,C65010
"D4, D5",D_SOD-123,2,1N4148,C81598
D6,SOT-23-5,1,ESDS314DBV,C1847859
D7,D_SMA,1,SMAJ58A,C132936
"D8, D9",D_SMA,2,SS34,C8678
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,C2765186
"J2, J3",TerminalBlock_Dibo_DB142R-5.08-2P_1x02_P5.08mm_Horizontal,2,"1x2P 5,08mm",C475144
J4,RJ45_HanRun_HY931147C,1,RJ45 JACK,C91754
"K1, K2",Relay_SPST_Omron_G5NB-1A,2,G5NB-1A-E-DC5,C48746
L1,0805,1,2A/600R,C139168
L2,L_12x12mm_h6mm,1,"33uH/2,1A",C169386
L3,L_3x3mm_h1.5mm,1,"2,2uH/1,5A",C370424
Q1,SOT-23,1,WPM2015-3/TR,C558305
Q2,SOT-23,1,LMUN2211LT1G,C150229
Q3,SOT-363_SC-70-6,1,UMH3N,C62892
"Q4, Q5",SOT-23,2,MMBT2222A,C8512
"R1, R11, R12, R14, R15, R28, R5, R6",0402,8,10k,C60490
"R10, R9",0402,2,680R,C25130
R13,0402,1,22R,C25092
R16,0402,1,"12,1k",C25852
"R17, R18",0402,2,330R,C25104
R19,1206,1,30mR/250mW,C473665
"R2, R4",0402,2,"5,1k",C105872
"R20, R3, R7, R8",0402,4,1k,C11702
R21,0402,1,180k,C138046
R22,0402,1,"30,1k",C138009
R23,0603,1,"4,42k/100mW",C482858
R24,0603,1,"5,1R/100mW",C25197
R25,0805,1,"100k/0,125W",C149504
R26,0805,1,"22,1k/0,125W",C17552
R27,0402,1,130k,C93946
R29,0603,1,300k/100mW,C23024
R30,0603,1,"52,3k/100mW",C185323
R31,2512,1,"4,7k/1W",C878291
"R32, R33, R34, R35",0402,4,"49,9R",C25120
"R36, R37, R38, R39, R40, R41, R42, R43",0402,8,2k2,C25879
SW1,SW_SPST_Xunpu_TS1088AR02016,1,RESET,C720477
U1,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH340K,C968586
U2,ESP32-WROOM-32U,1,ESP32-WROOM-32UE-N16,C701346
U3,QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm_ThermalVias,1,LAN8710A,C46185
U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.81mm_ThermalVias,1,TX4138,C329267
U5,SOT-23-5_Shorter_Pins,1,SY8089A1AAC,C479074
U6,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.71x3.4mm_ThermalVias,1,TPS2376DDAR-H,C544899
